index,action,id_message,id_participant,recipients
2022-11-07 11:28:25.170929+08:00,send notification,jitai_temperature,orenth07,1
2022-11-07 11:58:25.915540+08:00,send notification,jitai_temperature,orenth05,1
2022-11-07 11:58:26.973258+08:00,send notification,jitai_temperature,orenth09,1
2022-11-07 11:58:28.747324+08:00,send notification,jitai_temperature,orenth10,1
2022-11-07 14:43:26.764595+08:00,send notification,jitai_temperature,orenth06,1
2022-11-07 15:13:28.231494+08:00,send notification,jitai_temperature,orenth09,1
2022-11-07 15:13:30.223734+08:00,send notification,jitai_temperature,orenth10,1
2022-11-07 16:58:29.266731+08:00,send notification,jitai_temperature,orenth08,1
2022-11-07 16:58:31.366026+08:00,send notification,jitai_temperature,orenth11,1
2022-11-08 11:28:27.233809+08:00,send notification,jitai_temperature,orenth08,1
2022-11-08 11:28:29.072042+08:00,send notification,jitai_temperature,orenth11,1
2022-11-08 12:58:28.959025+08:00,send notification,jitai_temperature,orenth09,1
2022-11-08 12:58:30.705206+08:00,send notification,jitai_temperature,orenth10,1
2022-11-08 14:58:30.391905+08:00,send notification,jitai_temperature,orenth08,1
2022-11-08 14:58:32.513150+08:00,send notification,jitai_temperature,orenth11,1
2022-11-10 13:43:36.108794+08:00,send notification,jitai_temperature,orenth10,1
2022-11-11 11:13:38.626338+08:00,send notification,jitai_temperature,orenth10,1
2022-11-11 15:43:40.823984+08:00,send notification,jitai_temperature,orenth10,1
2022-11-14 13:28:51.779097+08:00,send notification,jitai_temperature,orenth10,1
2022-11-14 13:43:49.535075+08:00,send notification,jitai_temperature,orenth13,1
2022-11-14 14:13:49.823468+08:00,send notification,jitai_temperature,orenth17,1
2022-11-14 14:43:47.506602+08:00,send notification,jitai_temperature,orenth11,1
2022-11-14 17:09:41.629829+08:00,send notification,jitai_temperature,orenth13,1
2022-11-14 17:09:42.424274+08:00,send notification,jitai_temperature,orenth10,1
2022-11-14 18:13:17.458554+08:00,send notification,jitai_temperature,orenth23,1
2022-11-15 11:44:53.180219+08:00,send notification,jitai_temperature,orenth11,1
2022-11-15 11:44:53.913536+08:00,send notification,jitai_temperature,orenth13,1
2022-11-15 11:58:16.302651+08:00,send notification,jitai_temperature,orenth23,1
2022-11-15 12:29:54.486889+08:00,send notification,jitai_temperature,orenth10,1
2022-11-15 14:28:12.668442+08:00,send notification,jitai_temperature,orenth17,1
2022-11-15 14:43:18.489362+08:00,send notification,jitai_temperature,orenth24,1
2022-11-15 14:58:16.401790+08:00,send notification,jitai_temperature,orenth11,1
2022-11-15 14:58:17.165105+08:00,send notification,jitai_temperature,orenth13,1
2022-11-15 15:13:17.521736+08:00,send notification,jitai_temperature,orenth23,1
2022-11-15 15:43:16.964665+08:00,send notification,jitai_temperature,orenth10,1
2022-11-15 17:58:19.168602+08:00,send notification,jitai_temperature,orenth24,1
2022-11-15 18:13:17.819411+08:00,send notification,jitai_temperature,orenth11,1
2022-11-15 18:13:18.685305+08:00,send notification,jitai_temperature,orenth13,1
2022-11-15 18:28:20.726003+08:00,send notification,jitai_temperature,orenth23,1
2022-11-16 10:28:16.090701+08:00,send notification,jitai_temperature,orenth11,1
2022-11-16 10:28:16.823833+08:00,send notification,jitai_temperature,orenth13,1
2022-11-16 10:28:17.643876+08:00,send notification,jitai_temperature,orenth10,1
2022-11-16 10:28:18.594117+08:00,send notification,jitai_temperature,orenth15,1
2022-11-16 10:28:19.508665+08:00,send notification,jitai_temperature,orenth17,1
2022-11-16 10:28:24.722654+08:00,send notification,jitai_temperature,orenth23,1
2022-11-16 10:28:25.644535+08:00,send notification,jitai_temperature,orenth20,1
2022-11-16 10:28:26.621380+08:00,send notification,jitai_temperature,orenth24,1
2022-11-16 13:43:16.388160+08:00,send notification,jitai_temperature,orenth11,1
2022-11-16 13:43:17.130605+08:00,send notification,jitai_temperature,orenth13,1
2022-11-16 13:43:17.923875+08:00,send notification,jitai_temperature,orenth10,1
2022-11-16 13:43:18.885715+08:00,send notification,jitai_temperature,orenth15,1
2022-11-16 13:43:19.834517+08:00,send notification,jitai_temperature,orenth17,1
2022-11-16 13:43:26.447640+08:00,send notification,jitai_temperature,orenth23,1
2022-11-16 13:43:27.349494+08:00,send notification,jitai_temperature,orenth20,1
2022-11-16 13:43:28.369234+08:00,send notification,jitai_temperature,orenth24,1
2022-11-16 15:58:10.987887+08:00,send notification,jitai_temperature,orenth12,1
2022-11-17 11:43:22.214577+08:00,send notification,jitai_temperature,orenth23,1
2022-11-17 12:13:27.175156+08:00,send notification,jitai_temperature,orenth24,1
2022-11-17 12:28:19.474021+08:00,send notification,jitai_temperature,orenth12,1
2022-11-17 12:28:21.103144+08:00,send notification,jitai_temperature,orenth10,1
2022-11-17 12:43:19.739468+08:00,send notification,jitai_temperature,orenth17,1
