index,action,id_message,id_participant,recipients
2023-03-30 13:58:16.986717+08:00,send notification,jitai_temperature,usk03,1
2023-03-30 13:58:17.809998+08:00,send notification,jitai_temperature,usk04,1
2023-03-30 13:58:18.609447+08:00,send notification,jitai_temperature,usk08,1
2023-03-30 13:58:19.221219+08:00,send notification,jitai_temperature,usk09,1
2023-03-30 14:03:15.411320+08:00,send notification,jitai_temperature,usk02,1
2023-03-30 14:03:16.135332+08:00,send notification,jitai_temperature,usk07,1
2023-03-30 14:13:15.953998+08:00,send notification,jitai_temperature,usk05,1
2023-03-30 14:13:16.740786+08:00,send notification,jitai_temperature,usk06,1
2023-03-30 17:08:18.454756+08:00,send notification,jitai_temperature,usk07,1
2023-03-31 10:33:15.907272+08:00,send notification,jitai_temperature,usk09,1
2023-03-31 10:58:14.891122+08:00,send notification,jitai_temperature,usk07,1
2023-03-31 11:48:16.100924+08:00,send notification,jitai_temperature,usk02,1
2023-03-31 11:48:16.660033+08:00,send notification,jitai_temperature,usk03,1
2023-03-31 11:48:17.257307+08:00,send notification,jitai_temperature,usk04,1
2023-03-31 11:48:18.139101+08:00,send notification,jitai_temperature,usk05,1
2023-03-31 11:48:18.845601+08:00,send notification,jitai_temperature,usk08,1
2023-03-31 11:58:15.308329+08:00,send notification,jitai_temperature,usk01,1
2023-03-31 11:58:15.917470+08:00,send notification,jitai_temperature,usk06,1
2023-03-31 13:38:15.696995+08:00,send notification,jitai_temperature,usk09,1
2023-03-31 14:03:16.725640+08:00,send notification,jitai_temperature,usk07,1
2023-03-31 14:53:16.637617+08:00,send notification,jitai_temperature,usk02,1
2023-03-31 14:53:17.208086+08:00,send notification,jitai_temperature,usk03,1
2023-03-31 14:53:17.906548+08:00,send notification,jitai_temperature,usk05,1
2023-03-31 14:53:18.623900+08:00,send notification,jitai_temperature,usk08,1
2023-03-31 15:03:21.691097+08:00,send notification,jitai_temperature,usk01,1
2023-03-31 15:03:22.483768+08:00,send notification,jitai_temperature,usk06,1
2023-03-31 15:08:17.317509+08:00,send notification,jitai_temperature,usk04,1
2023-03-31 17:08:18.509778+08:00,send notification,jitai_temperature,usk07,1
2023-04-04 09:58:15.283555+08:00,send notification,jitai_temperature,usk02,1
2023-04-04 10:23:15.936892+08:00,send notification,jitai_temperature,usk05,1
2023-04-04 10:28:17.260895+08:00,send notification,jitai_temperature,usk08,1
2023-04-04 10:53:16.022489+08:00,send notification,jitai_temperature,usk07,1
2023-04-04 11:03:15.376369+08:00,send notification,jitai_temperature,usk01,1
2023-04-04 11:03:16.060721+08:00,send notification,jitai_temperature,usk03,1
2023-04-04 11:03:16.608305+08:00,send notification,jitai_temperature,usk04,1
